Player,Squad,League,Pos,PosGrp,RoleCluster,SuggestedRole,TopFeatures,UMAP_X,UMAP_Y
Souleyman Doumbia,Standard Liège,Belgian Pro League,DF,DM,2,DM-Sweeper,"G+A-PK↓, Performance_CrdY↑, Gls_shooting↓, npxG+xAG↓, Clr↑",8.693833,10.143328
Soungoutou Magassa,Monaco,Ligue 1,"DF,MF",DM,2,DM-Sweeper,"G+A-PK↓, Performance_CrdY↑, Gls_shooting↓, npxG+xAG↓, Clr↑",8.019156,9.814302
Stanislav Lobotka,Napoli,Serie A,MF,DM,2,DM-Sweeper,"G+A-PK↓, Performance_CrdY↑, Gls_shooting↓, npxG+xAG↓, Clr↑",8.130635,8.067123
Stephen Eustáquio,Porto,Primeira Liga,MF,DM,1,DM-Hybrid,"Challenges_Lost↓, Expected_A-xAG↑, Performance_Fls↓, Blocks_Pass↓, PK_shooting↑",8.508685,5.856036
Steven Alzate,Standard Liège,Belgian Pro League,MF,DM,1,DM-Hybrid,"Challenges_Lost↓, Expected_A-xAG↑, Performance_Fls↓, Blocks_Pass↓, PK_shooting↑",8.592994,7.216702
Stije Resink,Almere City,Eredivisie,MF,DM,0,DM-Hybrid,"Touches_Def 3rd↓, Performance_Off↑, Carries_Mis↑, Def↑, Take-Ons_Tkld%↑",11.417504,7.547723
Stijn Spierings,Toulouse,Ligue 1,MF,DM,1,DM-Hybrid,"Challenges_Lost↓, Expected_A-xAG↑, Performance_Fls↓, Blocks_Pass↓, PK_shooting↑",7.599307,9.327354
Suat Serdar,Hellas Verona,Serie A,MF,DM,2,DM-Sweeper,"G+A-PK↓, Performance_CrdY↑, Gls_shooting↓, npxG+xAG↓, Clr↑",11.300303,8.190253
Sven Kums,Gent,Belgian Pro League,MF,DM,1,DM-Hybrid,"Challenges_Lost↓, Expected_A-xAG↑, Performance_Fls↓, Blocks_Pass↓, PK_shooting↑",7.3101516,6.347903
Taichi Fukui,Portimonense,Primeira Liga,MF,DM,0,DM-Hybrid,"Touches_Def 3rd↓, Performance_Off↑, Carries_Mis↑, Def↑, Take-Ons_Tkld%↑",10.909577,5.879313
Tanguy Nianzou,Sevilla,La Liga,DF,DM,2,DM-Sweeper,"G+A-PK↓, Performance_CrdY↑, Gls_shooting↓, npxG+xAG↓, Clr↑",9.280426,9.761406
Telasco Segovia,Casa Pia,Primeira Liga,MF,DM,2,DM-Sweeper,"G+A-PK↓, Performance_CrdY↑, Gls_shooting↓, npxG+xAG↓, Clr↑",10.733637,8.454537
Theo Hernández,Milan,Serie A,DF,DM,1,DM-Hybrid,"Challenges_Lost↓, Expected_A-xAG↑, Performance_Fls↓, Blocks_Pass↓, PK_shooting↑",8.573612,6.3960834
Thom Haye,Heerenveen,Eredivisie,MF,DM,1,DM-Hybrid,"Challenges_Lost↓, Expected_A-xAG↑, Performance_Fls↓, Blocks_Pass↓, PK_shooting↑",7.3708444,5.7990026
Thomas Partey,Arsenal,Premier League,"MF,DF",DM,1,DM-Hybrid,"Challenges_Lost↓, Expected_A-xAG↑, Performance_Fls↓, Blocks_Pass↓, PK_shooting↑",7.3920054,8.029585
Théo Fonseca,Famalicão,Primeira Liga,FW,DM,0,DM-Hybrid,"Touches_Def 3rd↓, Performance_Off↑, Carries_Mis↑, Def↑, Take-Ons_Tkld%↑",11.7273445,6.2578
Tiago Dantas,AZ Alkmaar,Eredivisie,MF,DM,1,DM-Hybrid,"Challenges_Lost↓, Expected_A-xAG↑, Performance_Fls↓, Blocks_Pass↓, PK_shooting↑",8.030887,6.9122434
Tiago Silva,Vitória,Primeira Liga,MF,DM,1,DM-Hybrid,"Challenges_Lost↓, Expected_A-xAG↑, Performance_Fls↓, Blocks_Pass↓, PK_shooting↑",7.5419765,5.560188
Tiemoué Bakayoko,Lorient,Ligue 1,MF,DM,2,DM-Sweeper,"G+A-PK↓, Performance_CrdY↑, Gls_shooting↓, npxG+xAG↓, Clr↑",9.780672,8.054447
Tim Breithaupt,Augsburg,Bundesliga,MF,DM,2,DM-Sweeper,"G+A-PK↓, Performance_CrdY↑, Gls_shooting↓, npxG+xAG↓, Clr↑",10.57162,9.46446
Tobias Kempe,Darmstadt 98,Bundesliga,MF,DM,0,DM-Hybrid,"Touches_Def 3rd↓, Performance_Off↑, Carries_Mis↑, Def↑, Take-Ons_Tkld%↑",8.1658325,5.4834485
Tom Krauß,Mainz 05,Bundesliga,MF,DM,2,DM-Sweeper,"G+A-PK↓, Performance_CrdY↑, Gls_shooting↓, npxG+xAG↓, Clr↑",11.342988,8.577594
Tom Lacoux,Famalicão,Primeira Liga,MF,DM,2,DM-Sweeper,"G+A-PK↓, Performance_CrdY↑, Gls_shooting↓, npxG+xAG↓, Clr↑",10.302652,9.127583
Toma Bašić,Salernitana,Serie A,MF,DM,2,DM-Sweeper,"G+A-PK↓, Performance_CrdY↑, Gls_shooting↓, npxG+xAG↓, Clr↑",9.650592,8.773367
Tommaso Pobega,Milan,Serie A,MF,DM,2,DM-Sweeper,"G+A-PK↓, Performance_CrdY↑, Gls_shooting↓, npxG+xAG↓, Clr↑",11.235883,9.664264
Tommy Doyle,Wolves,Premier League,MF,DM,1,DM-Hybrid,"Challenges_Lost↓, Expected_A-xAG↑, Performance_Fls↓, Blocks_Pass↓, PK_shooting↑",7.670088,8.090855
Tomás Händel,Vitória,Primeira Liga,MF,DM,2,DM-Sweeper,"G+A-PK↓, Performance_CrdY↑, Gls_shooting↓, npxG+xAG↓, Clr↑",9.318025,7.38364
Toni Domgjoni,Vitesse,Eredivisie,MF,DM,2,DM-Sweeper,"G+A-PK↓, Performance_CrdY↑, Gls_shooting↓, npxG+xAG↓, Clr↑",10.08744,8.825912
Toni Kroos,Real Madrid,La Liga,MF,DM,1,DM-Hybrid,"Challenges_Lost↓, Expected_A-xAG↑, Performance_Fls↓, Blocks_Pass↓, PK_shooting↑",7.077634,6.743608
Umut Tohumcu,Hoffenheim,Bundesliga,MF,DM,0,DM-Hybrid,"Touches_Def 3rd↓, Performance_Off↑, Carries_Mis↑, Def↑, Take-Ons_Tkld%↑",10.069886,6.132433
Unai López,Rayo Vallecano,La Liga,MF,DM,1,DM-Hybrid,"Challenges_Lost↓, Expected_A-xAG↑, Performance_Fls↓, Blocks_Pass↓, PK_shooting↑",8.259927,6.255022
Uroš Račić,Sassuolo,Serie A,MF,DM,2,DM-Sweeper,"G+A-PK↓, Performance_CrdY↑, Gls_shooting↓, npxG+xAG↓, Clr↑",9.901994,7.600495
Valentin Atangana Edoa,Reims,Ligue 1,MF,DM,0,DM-Hybrid,"Touches_Def 3rd↓, Performance_Off↑, Carries_Mis↑, Def↑, Take-Ons_Tkld%↑",11.006072,7.6147203
Valentin Rongier,Marseille,Ligue 1,MF,DM,1,DM-Hybrid,"Challenges_Lost↓, Expected_A-xAG↑, Performance_Fls↓, Blocks_Pass↓, PK_shooting↑",7.427372,8.676516
Vanderson,Monaco,Ligue 1,DF,DM,0,DM-Hybrid,"Touches_Def 3rd↓, Performance_Off↑, Carries_Mis↑, Def↑, Take-Ons_Tkld%↑",9.588403,6.486472
Viktor Kovalenko,Empoli,Serie A,MF,DM,0,DM-Hybrid,"Touches_Def 3rd↓, Performance_Off↑, Carries_Mis↑, Def↑, Take-Ons_Tkld%↑",11.512928,5.927558
Vincent Sierro,Toulouse,Ligue 1,MF,DM,1,DM-Hybrid,"Challenges_Lost↓, Expected_A-xAG↑, Performance_Fls↓, Blocks_Pass↓, PK_shooting↑",8.143966,5.508209
Vinicius Souza,Sheffield Utd,Premier League,MF,DM,2,DM-Sweeper,"G+A-PK↓, Performance_CrdY↑, Gls_shooting↓, npxG+xAG↓, Clr↑",10.999852,9.763024
Vinícius Zanocelo,Estoril,Primeira Liga,MF,DM,2,DM-Sweeper,"G+A-PK↓, Performance_CrdY↑, Gls_shooting↓, npxG+xAG↓, Clr↑",9.375994,8.870731
Vitor Carvalho,Braga,Primeira Liga,MF,DM,2,DM-Sweeper,"G+A-PK↓, Performance_CrdY↑, Gls_shooting↓, npxG+xAG↓, Clr↑",8.595432,9.800702
Vitó Ferreira,Estrela,Primeira Liga,MF,DM,2,DM-Sweeper,"G+A-PK↓, Performance_CrdY↑, Gls_shooting↓, npxG+xAG↓, Clr↑",10.636659,8.62043
Vítor Gomes,Rio Ave,Primeira Liga,MF,DM,2,DM-Sweeper,"G+A-PK↓, Performance_CrdY↑, Gls_shooting↓, npxG+xAG↓, Clr↑",8.796664,9.159476
Walace,Udinese,Serie A,MF,DM,2,DM-Sweeper,"G+A-PK↓, Performance_CrdY↑, Gls_shooting↓, npxG+xAG↓, Clr↑",10.248314,8.772689
Warren Bondo,Monza,Serie A,MF,DM,2,DM-Sweeper,"G+A-PK↓, Performance_CrdY↑, Gls_shooting↓, npxG+xAG↓, Clr↑",9.946121,7.7177906
Wataru Endo,Liverpool,Premier League,MF,DM,2,DM-Sweeper,"G+A-PK↓, Performance_CrdY↑, Gls_shooting↓, npxG+xAG↓, Clr↑",8.099495,8.983891
Will Hughes,Crystal Palace,Premier League,MF,DM,2,DM-Sweeper,"G+A-PK↓, Performance_CrdY↑, Gls_shooting↓, npxG+xAG↓, Clr↑",10.577603,8.635755
William Carvalho,Betis,La Liga,MF,DM,1,DM-Hybrid,"Challenges_Lost↓, Expected_A-xAG↑, Performance_Fls↓, Blocks_Pass↓, PK_shooting↑",7.6254835,7.5442295
Wolke Janssens,Sint-Truiden,Belgian Pro League,DF,DM,2,DM-Sweeper,"G+A-PK↓, Performance_CrdY↑, Gls_shooting↓, npxG+xAG↓, Clr↑",8.933206,10.305171
Xander Blomme,Go Ahead Eag,Eredivisie,MF,DM,2,DM-Sweeper,"G+A-PK↓, Performance_CrdY↑, Gls_shooting↓, npxG+xAG↓, Clr↑",10.820967,9.950128
Xaver Schlager,RB Leipzig,Bundesliga,MF,DM,1,DM-Hybrid,"Challenges_Lost↓, Expected_A-xAG↑, Performance_Fls↓, Blocks_Pass↓, PK_shooting↑",7.3818736,7.882129
Yacine Adli,Milan,Serie A,MF,DM,1,DM-Hybrid,"Challenges_Lost↓, Expected_A-xAG↑, Performance_Fls↓, Blocks_Pass↓, PK_shooting↑",7.1644244,6.979786
Yangel Herrera,Girona,La Liga,MF,DM,0,DM-Hybrid,"Touches_Def 3rd↓, Performance_Off↑, Carries_Mis↑, Def↑, Take-Ons_Tkld%↑",10.262395,6.3475
Yannick Gerhardt,Wolfsburg,Bundesliga,"MF,DF",DM,0,DM-Hybrid,"Touches_Def 3rd↓, Performance_Off↑, Carries_Mis↑, Def↑, Take-Ons_Tkld%↑",11.494519,5.977726
Yassin Oukili,RKC Waalwijk,Eredivisie,MF,DM,0,DM-Hybrid,"Touches_Def 3rd↓, Performance_Off↑, Carries_Mis↑, Def↑, Take-Ons_Tkld%↑",10.619511,7.747144
Yassine Kechta,Le Havre,Ligue 1,MF,DM,0,DM-Hybrid,"Touches_Def 3rd↓, Performance_Off↑, Carries_Mis↑, Def↑, Take-Ons_Tkld%↑",9.632872,6.915344
Yehor Yarmoliuk,Brentford,Premier League,MF,DM,0,DM-Hybrid,"Touches_Def 3rd↓, Performance_Off↑, Carries_Mis↑, Def↑, Take-Ons_Tkld%↑",11.2164545,6.277926
Ylber Ramadani,Lecce,Serie A,MF,DM,2,DM-Sweeper,"G+A-PK↓, Performance_CrdY↑, Gls_shooting↓, npxG+xAG↓, Clr↑",10.469392,9.011748
Yohann Magnin,Clermont Foot,Ligue 1,MF,DM,2,DM-Sweeper,"G+A-PK↓, Performance_CrdY↑, Gls_shooting↓, npxG+xAG↓, Clr↑",11.456535,9.113534
Yoram Zague,Paris S-G,Ligue 1,DF,DM,1,DM-Hybrid,"Challenges_Lost↓, Expected_A-xAG↑, Performance_Fls↓, Blocks_Pass↓, PK_shooting↑",8.18522,8.51937
Youcef Atal,Nice,Ligue 1,DF,DM,1,DM-Hybrid,"Challenges_Lost↓, Expected_A-xAG↑, Performance_Fls↓, Blocks_Pass↓, PK_shooting↑",8.516001,7.0816226
Youri Tielemans,Aston Villa,Premier League,"MF,FW",DM,1,DM-Hybrid,"Challenges_Lost↓, Expected_A-xAG↑, Performance_Fls↓, Blocks_Pass↓, PK_shooting↑",9.018518,6.798477
Youssef Maleh,Empoli,Serie A,MF,DM,0,DM-Hybrid,"Touches_Def 3rd↓, Performance_Off↑, Carries_Mis↑, Def↑, Take-Ons_Tkld%↑",11.095471,7.8268948
Youssouf Fofana,Monaco,Ligue 1,MF,DM,1,DM-Hybrid,"Challenges_Lost↓, Expected_A-xAG↑, Performance_Fls↓, Blocks_Pass↓, PK_shooting↑",8.54829,6.592431
Yunus Musah,Milan,Serie A,"MF,FW",DM,0,DM-Hybrid,"Touches_Def 3rd↓, Performance_Off↑, Carries_Mis↑, Def↑, Take-Ons_Tkld%↑",10.121671,6.0839534
Yves Bissouma,Tottenham,Premier League,MF,DM,1,DM-Hybrid,"Challenges_Lost↓, Expected_A-xAG↑, Performance_Fls↓, Blocks_Pass↓, PK_shooting↑",7.5013695,9.313083
Zaydou Youssouf,Famalicão,Primeira Liga,MF,DM,1,DM-Hybrid,"Challenges_Lost↓, Expected_A-xAG↑, Performance_Fls↓, Blocks_Pass↓, PK_shooting↑",8.857986,7.4199057
Zico Buurmeester,Zwolle,Eredivisie,MF,DM,2,DM-Sweeper,"G+A-PK↓, Performance_CrdY↑, Gls_shooting↓, npxG+xAG↓, Clr↑",9.513713,8.510371
Álex Fernández,Cádiz,La Liga,MF,DM,2,DM-Sweeper,"G+A-PK↓, Performance_CrdY↑, Gls_shooting↓, npxG+xAG↓, Clr↑",9.399321,8.506247
Álvaro Peña,Almere City,Eredivisie,MF,DM,0,DM-Hybrid,"Touches_Def 3rd↓, Performance_Off↑, Carries_Mis↑, Def↑, Take-Ons_Tkld%↑",11.10641,6.091242
Éder Álvarez Balanta,Club Brugge,Belgian Pro League,MF,DM,2,DM-Sweeper,"G+A-PK↓, Performance_CrdY↑, Gls_shooting↓, npxG+xAG↓, Clr↑",10.486242,10.146826
Éderson,Atalanta,Serie A,MF,DM,2,DM-Sweeper,"G+A-PK↓, Performance_CrdY↑, Gls_shooting↓, npxG+xAG↓, Clr↑",8.897495,7.738895
Étienne Capoue,Villarreal,La Liga,MF,DM,0,DM-Hybrid,"Touches_Def 3rd↓, Performance_Off↑, Carries_Mis↑, Def↑, Take-Ons_Tkld%↑",10.330964,6.797505
Óliver Torres,Sevilla,La Liga,MF,DM,0,DM-Hybrid,"Touches_Def 3rd↓, Performance_Off↑, Carries_Mis↑, Def↑, Take-Ons_Tkld%↑",9.456602,6.2673473
Óscar Melendo,Granada,La Liga,"MF,FW",DM,0,DM-Hybrid,"Touches_Def 3rd↓, Performance_Off↑, Carries_Mis↑, Def↑, Take-Ons_Tkld%↑",10.412594,7.334586
Óscar Valentín,Rayo Vallecano,La Liga,MF,DM,2,DM-Sweeper,"G+A-PK↓, Performance_CrdY↑, Gls_shooting↓, npxG+xAG↓, Clr↑",11.028742,9.550795
Aaron Ramsey,Burnley,Premier League,"MF,FW",AM,1,"AM-Carrier, Chance Creator, Creator","PrgC↓, SCA↓, xAG↓, Performance_Recov↓, Ast_passing↓",6.084155,-1.1582303
Aarón Martín,Genoa,Serie A,DF,AM,1,"AM-Carrier, Chance Creator, Creator","PrgC↓, SCA↓, xAG↓, Performance_Recov↓, Ast_passing↓",4.3245363,-0.9458105
Abdelkahar Kadri,Kortrijk,Belgian Pro League,"MF,FW",AM,0,AM-Distributor,"Medium_Cmp%↑, Touches_Def 3rd↑, GCA↑, PrgP↑, Long_Cmp↑",3.5035853,-2.13424
Abdou Harroui,Frosinone,Serie A,"MF,FW",AM,1,"AM-Carrier, Chance Creator, Creator","PrgC↓, SCA↓, xAG↓, Performance_Recov↓, Ast_passing↓",4.5935845,1.2502283
Abdoulaye Doucouré,Everton,Premier League,"FW,MF",AM,1,"AM-Carrier, Chance Creator, Creator","PrgC↓, SCA↓, xAG↓, Performance_Recov↓, Ast_passing↓",6.0668063,0.29727653
Ablie Jallow,Metz,Ligue 1,"MF,FW",AM,1,"AM-Carrier, Chance Creator, Creator","PrgC↓, SCA↓, xAG↓, Performance_Recov↓, Ast_passing↓",4.890134,0.36264756
Adam Lallana,Brighton,Premier League,"MF,FW",AM,1,"AM-Carrier, Chance Creator, Creator","PrgC↓, SCA↓, xAG↓, Performance_Recov↓, Ast_passing↓",3.4890084,-0.9064187
Adem Zorgane,Charleroi,Belgian Pro League,MF,AM,0,AM-Distributor,"Medium_Cmp%↑, Touches_Def 3rd↑, GCA↑, PrgP↑, Long_Cmp↑",2.231704,-2.5893052
Adrien Thomasson,Lens,Ligue 1,MF,AM,0,AM-Distributor,"Medium_Cmp%↑, Touches_Def 3rd↑, GCA↑, PrgP↑, Long_Cmp↑",3.1048934,0.6801505
Aimar Oroz,Osasuna,La Liga,MF,AM,1,"AM-Carrier, Chance Creator, Creator","PrgC↓, SCA↓, xAG↓, Performance_Recov↓, Ast_passing↓",5.473226,-1.0909598
Alan,Moreirense,Primeira Liga,MF,AM,1,"AM-Carrier, Chance Creator, Creator","PrgC↓, SCA↓, xAG↓, Performance_Recov↓, Ast_passing↓",3.3687737,-0.37837234
Albert Guðmundsson,Genoa,Serie A,"FW,MF",AM,0,AM-Distributor,"Medium_Cmp%↑, Touches_Def 3rd↑, GCA↑, PrgP↑, Long_Cmp↑",2.7358916,-0.026325606
Alberto Soro,Vizela,Primeira Liga,"FW,MF",AM,1,"AM-Carrier, Chance Creator, Creator","PrgC↓, SCA↓, xAG↓, Performance_Recov↓, Ast_passing↓",5.7999406,0.9677415
Aleksandr Golovin,Monaco,Ligue 1,"MF,FW",AM,0,AM-Distributor,"Medium_Cmp%↑, Touches_Def 3rd↑, GCA↑, PrgP↑, Long_Cmp↑",1.7845743,-1.0137403
Aleksei Miranchuk,Atalanta,Serie A,"MF,FW",AM,0,AM-Distributor,"Medium_Cmp%↑, Touches_Def 3rd↑, GCA↑, PrgP↑, Long_Cmp↑",2.0456092,0.4726891
Alen Halilović,Fortuna Sittard,Eredivisie,"MF,FW",AM,0,AM-Distributor,"Medium_Cmp%↑, Touches_Def 3rd↑, GCA↑, PrgP↑, Long_Cmp↑",2.7612677,-0.23937862
Alessio Zerbin,Monza,Serie A,"DF,FW",AM,1,"AM-Carrier, Chance Creator, Creator","PrgC↓, SCA↓, xAG↓, Performance_Recov↓, Ast_passing↓",5.10055,-1.2646326
Alex Baena,Villarreal,La Liga,"MF,FW",AM,0,AM-Distributor,"Medium_Cmp%↑, Touches_Def 3rd↑, GCA↑, PrgP↑, Long_Cmp↑",2.1309445,0.40409988
Alex Mendez,Vizela,Primeira Liga,"MF,FW",AM,0,AM-Distributor,"Medium_Cmp%↑, Touches_Def 3rd↑, GCA↑, PrgP↑, Long_Cmp↑",3.4813545,-0.48418865
Alex Scott,Bournemouth,Premier League,MF,AM,1,"AM-Carrier, Chance Creator, Creator","PrgC↓, SCA↓, xAG↓, Performance_Recov↓, Ast_passing↓",5.1238666,-2.2050228
Alexis Claude-Maurice,Nice,Ligue 1,MF,AM,1,"AM-Carrier, Chance Creator, Creator","PrgC↓, SCA↓, xAG↓, Performance_Recov↓, Ast_passing↓",3.6274693,-1.4244632
Alexis Flips,Anderlecht,Belgian Pro League,"FW,MF",AM,2,AM-Advanced,"Performance_OG↓, xG+xAG↑, G+A-PK↑, Touches_Att Pen↑, Blocks_Sh↓",3.1191864,0.6349092
Alexis Saelemaekers,Bologna,Serie A,"FW,MF",AM,0,AM-Distributor,"Medium_Cmp%↑, Touches_Def 3rd↑, GCA↑, PrgP↑, Long_Cmp↑",3.0814502,-1.1642339
Alexis Sánchez,Inter,Serie A,"FW,MF",AM,0,AM-Distributor,"Medium_Cmp%↑, Touches_Def 3rd↑, GCA↑, PrgP↑, Long_Cmp↑",2.3360202,0.6172357
Alfonso Trezza,Arouca,Primeira Liga,"FW,MF",AM,1,"AM-Carrier, Chance Creator, Creator","PrgC↓, SCA↓, xAG↓, Performance_Recov↓, Ast_passing↓",6.213408,-1.2794237
Alireza Jahanbakhsh,Feyenoord,Eredivisie,"FW,MF",AM,2,AM-Advanced,"Performance_OG↓, xG+xAG↑, G+A-PK↑, Touches_Att Pen↑, Blocks_Sh↓",2.8113375,0.99430895
Amad Diallo,Manchester Utd,Premier League,"FW,MF",AM,2,AM-Advanced,"Performance_OG↓, xG+xAG↑, G+A-PK↑, Touches_Att Pen↑, Blocks_Sh↓",4.7023945,1.62173
Amine Harit,Marseille,Ligue 1,"MF,FW",AM,0,AM-Distributor,"Medium_Cmp%↑, Touches_Def 3rd↑, GCA↑, PrgP↑, Long_Cmp↑",3.2103705,-1.794713
Andreas Pereira,Fulham,Premier League,MF,AM,0,AM-Distributor,"Medium_Cmp%↑, Touches_Def 3rd↑, GCA↑, PrgP↑, Long_Cmp↑",2.7502754,0.07623609
Andros Townsend,Luton Town,Premier League,"MF,FW",AM,1,"AM-Carrier, Chance Creator, Creator","PrgC↓, SCA↓, xAG↓, Performance_Recov↓, Ast_passing↓",4.648568,-0.13308191
András Schäfer,Union Berlin,Bundesliga,MF,AM,1,"AM-Carrier, Chance Creator, Creator","PrgC↓, SCA↓, xAG↓, Performance_Recov↓, Ast_passing↓",5.7690144,-2.165868
André Franco,Porto,Primeira Liga,"MF,FW",AM,0,AM-Distributor,"Medium_Cmp%↑, Touches_Def 3rd↑, GCA↑, PrgP↑, Long_Cmp↑",2.1060333,-1.3656217
André Gomes,Everton,Premier League,"MF,FW",AM,1,"AM-Carrier, Chance Creator, Creator","PrgC↓, SCA↓, xAG↓, Performance_Recov↓, Ast_passing↓",5.605902,-1.7283558
André Horta,Braga,Primeira Liga,MF,AM,0,AM-Distributor,"Medium_Cmp%↑, Touches_Def 3rd↑, GCA↑, PrgP↑, Long_Cmp↑",1.7807385,-2.1995623
Andy Diouf,Lens,Ligue 1,MF,AM,0,AM-Distributor,"Medium_Cmp%↑, Touches_Def 3rd↑, GCA↑, PrgP↑, Long_Cmp↑",3.2699468,-1.8853151
Angelo Fulgini,Lens,Ligue 1,MF,AM,0,AM-Distributor,"Medium_Cmp%↑, Touches_Def 3rd↑, GCA↑, PrgP↑, Long_Cmp↑",3.0251763,-0.008593305
Anis Ben Slimane,Sheffield Utd,Premier League,MF,AM,1,"AM-Carrier, Chance Creator, Creator","PrgC↓, SCA↓, xAG↓, Performance_Recov↓, Ast_passing↓",6.396633,-0.06119207
Antoine Griezmann,Atlético Madrid,La Liga,"FW,MF",AM,0,AM-Distributor,"Medium_Cmp%↑, Touches_Def 3rd↑, GCA↑, PrgP↑, Long_Cmp↑",2.848873,0.6660028
Antonio Candreva,Salernitana,Serie A,"MF,FW",AM,0,AM-Distributor,"Medium_Cmp%↑, Touches_Def 3rd↑, GCA↑, PrgP↑, Long_Cmp↑",2.8952293,0.16128671
Antonio Sánchez,Mallorca,La Liga,MF,AM,1,"AM-Carrier, Chance Creator, Creator","PrgC↓, SCA↓, xAG↓, Performance_Recov↓, Ast_passing↓",5.6971865,-1.4283379
Arne Engels,Augsburg,Bundesliga,"MF,DF",AM,1,"AM-Carrier, Chance Creator, Creator","PrgC↓, SCA↓, xAG↓, Performance_Recov↓, Ast_passing↓",4.817863,-0.6134188
Arne Maier,Augsburg,Bundesliga,MF,AM,0,AM-Distributor,"Medium_Cmp%↑, Touches_Def 3rd↑, GCA↑, PrgP↑, Long_Cmp↑",1.7477559,-0.66402733
Arno Verschueren,Sparta R'dam,Eredivisie,MF,AM,1,"AM-Carrier, Chance Creator, Creator","PrgC↓, SCA↓, xAG↓, Performance_Recov↓, Ast_passing↓",6.347693,0.2159245
Arsen Zakharyan,Real Sociedad,La Liga,"MF,FW",AM,1,"AM-Carrier, Chance Creator, Creator","PrgC↓, SCA↓, xAG↓, Performance_Recov↓, Ast_passing↓",3.6858628,0.3353372
Ayman Kari,Lorient,Ligue 1,MF,AM,1,"AM-Carrier, Chance Creator, Creator","PrgC↓, SCA↓, xAG↓, Performance_Recov↓, Ast_passing↓",5.42288,-1.7822065
Azzedine Ounahi,Marseille,Ligue 1,MF,AM,0,AM-Distributor,"Medium_Cmp%↑, Touches_Def 3rd↑, GCA↑, PrgP↑, Long_Cmp↑",2.6288888,-2.191127
Bart Ramselaar,Utrecht,Eredivisie,"FW,MF",AM,1,"AM-Carrier, Chance Creator, Creator","PrgC↓, SCA↓, xAG↓, Performance_Recov↓, Ast_passing↓",5.1241283,0.9207288
Benjamin Bourigeaud,Rennes,Ligue 1,"MF,FW",AM,0,AM-Distributor,"Medium_Cmp%↑, Touches_Def 3rd↑, GCA↑, PrgP↑, Long_Cmp↑",2.0461466,-0.7187823
Benjamin Mendy,Lorient,Ligue 1,DF,AM,0,AM-Distributor,"Medium_Cmp%↑, Touches_Def 3rd↑, GCA↑, PrgP↑, Long_Cmp↑",2.2115326,-0.08585141
Benny,Chaves,Primeira Liga,"MF,FW",AM,1,"AM-Carrier, Chance Creator, Creator","PrgC↓, SCA↓, xAG↓, Performance_Recov↓, Ast_passing↓",4.311342,-0.12821499
Bilal El Khannouss,Genk,Belgian Pro League,MF,AM,0,AM-Distributor,"Medium_Cmp%↑, Touches_Def 3rd↑, GCA↑, PrgP↑, Long_Cmp↑",1.6193452,-0.9411253
Bobby De Cordova-Reid,Fulham,Premier League,FW,AM,1,"AM-Carrier, Chance Creator, Creator","PrgC↓, SCA↓, xAG↓, Performance_Recov↓, Ast_passing↓",5.738449,0.88416713
Brais Méndez,Real Sociedad,La Liga,"MF,FW",AM,1,"AM-Carrier, Chance Creator, Creator","PrgC↓, SCA↓, xAG↓, Performance_Recov↓, Ast_passing↓",3.3836634,-0.19270132
Brenden Aaronson,Union Berlin,Bundesliga,"MF,FW",AM,1,"AM-Carrier, Chance Creator, Creator","PrgC↓, SCA↓, xAG↓, Performance_Recov↓, Ast_passing↓",5.2242775,-1.2480574
Bruno Fernandes,Manchester Utd,Premier League,"MF,FW",AM,0,AM-Distributor,"Medium_Cmp%↑, Touches_Def 3rd↑, GCA↑, PrgP↑, Long_Cmp↑",1.4908241,-1.0515792
Bruno Guimarães,Newcastle Utd,Premier League,MF,AM,0,AM-Distributor,"Medium_Cmp%↑, Touches_Def 3rd↑, GCA↑, PrgP↑, Long_Cmp↑",2.5766938,-2.7370129
Bruno Lourenço,Boavista,Primeira Liga,"FW,MF",AM,1,"AM-Carrier, Chance Creator, Creator","PrgC↓, SCA↓, xAG↓, Performance_Recov↓, Ast_passing↓",5.766117,-0.4478219
Bruno Ventura,Rio Ave,Primeira Liga,"FW,MF",AM,1,"AM-Carrier, Chance Creator, Creator","PrgC↓, SCA↓, xAG↓, Performance_Recov↓, Ast_passing↓",4.956672,0.6663137
Camiel Neghli,Sparta R'dam,Eredivisie,FW,AM,1,"AM-Carrier, Chance Creator, Creator","PrgC↓, SCA↓, xAG↓, Performance_Recov↓, Ast_passing↓",4.019726,0.1497261
Carles Aleñá,Getafe,La Liga,MF,AM,1,"AM-Carrier, Chance Creator, Creator","PrgC↓, SCA↓, xAG↓, Performance_Recov↓, Ast_passing↓",5.8956075,-1.4709862
Carlinhos,Portimonense,Primeira Liga,MF,AM,0,AM-Distributor,"Medium_Cmp%↑, Touches_Def 3rd↑, GCA↑, PrgP↑, Long_Cmp↑",2.690384,-0.3334211
Carlos Vicente,Alavés,La Liga,FW,AM,1,"AM-Carrier, Chance Creator, Creator","PrgC↓, SCA↓, xAG↓, Performance_Recov↓, Ast_passing↓",4.3677883,0.59945685
Casper Terho,Union SG,Belgian Pro League,DF,AM,1,"AM-Carrier, Chance Creator, Creator","PrgC↓, SCA↓, xAG↓, Performance_Recov↓, Ast_passing↓",6.2903385,-1.7556936
