Player,Squad,League,Pos,PosGrp,RoleCluster,SuggestedRole,TopFeatures,UMAP_X,UMAP_Y
Harry Kane,Bayern Munich,Bundesliga,FW,CF,1,CF-Finisher,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",4.7515516,-4.305552
Henrique Araújo,Famalicão,Primeira Liga,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",7.1201477,-6.7296414
Hildeberto Pereira,Portimonense,Primeira Liga,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",6.891024,-4.9487596
Hugo Cuypers,Gent,Belgian Pro League,FW,CF,2,CF-Hybrid,"PassDead↑, Long_Att↑, Long_Cmp↑, Performance_Crs↑, 1/3↑",7.0027065,-3.9569924
Hugo Duro,Valencia,La Liga,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",6.761475,-7.411771
Hugo Ekitike,Eint Frankfurt,Bundesliga,FW,CF,1,CF-Finisher,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",4.876691,-4.3121724
Hwang Hee-chan,Wolves,Premier League,"FW,MF",CF,1,CF-Finisher,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",6.64336,-4.6349277
Héctor,Chaves,Primeira Liga,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",6.7645783,-7.0925756
Ianis Hagi,Alavés,La Liga,"MF,FW",CF,2,CF-Hybrid,"PassDead↑, Long_Att↑, Long_Cmp↑, Performance_Crs↑, 1/3↑",6.4759545,-2.7840092
Ion Nicolaescu,Heerenveen,Eredivisie,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",5.478083,-7.286641
Isaac Romero,Sevilla,La Liga,FW,CF,1,CF-Finisher,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",4.5002127,-5.158637
Isaac Success,Udinese,Serie A,"FW,MF",CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",6.85506,-6.3448553
Isaak Davies,Kortrijk,Belgian Pro League,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",6.0334573,-7.3879886
Isac Lidberg,Utrecht,Eredivisie,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",6.9392214,-7.2988377
Islam Slimani,Mechelen,Belgian Pro League,FW,CF,2,CF-Hybrid,"PassDead↑, Long_Att↑, Long_Cmp↑, Performance_Crs↑, 1/3↑",8.071002,-5.9472017
Ivan Toney,Brentford,Premier League,FW,CF,2,CF-Hybrid,"PassDead↑, Long_Att↑, Long_Cmp↑, Performance_Crs↑, 1/3↑",8.259517,-5.6434216
Jay Rodriguez,Burnley,Premier League,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",8.551021,-5.2361145
Jean-Philippe Mateta,Crystal Palace,Premier League,FW,CF,1,CF-Finisher,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",5.7391477,-6.0532045
